sale_id,customer_id,product_id,quantity,sale_date,payment_method,store_location
1,83,57,4,2024-01-01,PayPal,Eddieport
2,273,53,4,2022-08-11,PayPal,Port Peter
3,170,40,1,2023-07-27,Crypto,Banksstad
4,17,7,4,2024-01-12,Debit Card,East Wendy
5,18,36,3,2023-03-17,PayPal,Lake Stevenbury
6,78,33,1,2022-09-01,PayPal,Brittanyberg
7,254,15,1,2023-01-11,Debit Card,Staceyburgh
8,234,55,1,2022-08-11,Credit Card,Lake Tiffany
9,183,27,3,2022-06-09,Debit Card,Lewisborough
10,249,80,4,2022-08-27,Debit Card,Garciaborough
11,230,43,2,2024-07-21,Credit Card,Port Erikaport
12,222,80,3,2023-12-08,Credit Card,Dillonberg
13,277,16,2,2024-03-05,Debit Card,New Brian
14,14,76,2,2022-02-26,PayPal,South Lucasfort
15,25,59,3,2024-09-24,Debit Card,Matthewmouth
16,10,18,2,2023-01-10,Cash,Port Katie
17,97,38,4,2022-03-16,Credit Card,Amytown
18,273,12,1,2024-05-14,PayPal,Juliafurt
19,197,36,2,2022-03-25,Credit Card,Herreratown
20,270,76,2,2024-01-12,Crypto,South Cheryl
21,181,73,1,2024-08-04,Credit Card,West Scott
22,51,67,3,2022-01-13,Credit Card,Warrenside
23,160,35,4,2023-09-03,Debit Card,Dannyburgh
24,256,37,2,2024-05-03,Crypto,Brownhaven
25,196,30,1,2022-02-25,PayPal,West Danielport
26,162,77,2,2022-08-30,Debit Card,Crawfordhaven
27,235,13,2,2024-12-05,Credit Card,Christophermouth
28,31,21,2,2024-03-01,PayPal,Rodriguezfurt
29,196,57,3,2024-03-18,Credit Card,South Edward
30,242,16,3,2023-05-31,Credit Card,New Barbara
31,295,48,1,2022-08-22,Debit Card,Port Stacy
32,260,24,4,2022-07-07,Cash,North Manuel
33,216,2,1,2023-09-09,Credit Card,East John
34,216,64,4,2024-11-13,Credit Card,Dawnmouth
35,130,39,3,2024-02-04,Debit Card,West Christinefort
36,227,40,2,2023-10-25,Credit Card,East Amyport
37,168,77,1,2023-03-01,Cash,Carolfort
38,58,54,3,2023-10-09,Debit Card,Jillview
39,248,50,2,2023-02-23,PayPal,West Karenville
40,250,60,1,2023-03-24,Credit Card,Richardhaven
41,253,80,1,2022-08-02,PayPal,Brittanymouth
42,165,23,4,2022-10-31,PayPal,Jillport
43,56,24,1,2024-05-01,Credit Card,Warnerberg
44,99,3,2,2023-07-07,Crypto,Thomashaven
45,59,41,2,2023-06-04,Debit Card,Boltonview
46,130,80,3,2023-08-01,Debit Card,Port Michele
47,182,63,2,2023-03-24,Credit Card,Robinmouth
48,83,18,2,2022-01-03,Credit Card,Deanborough
49,263,10,3,2024-08-03,Debit Card,Cohenside
50,191,70,3,2024-11-23,Cash,North Amandachester
51,288,17,1,2024-04-17,Debit Card,East Carlos
52,165,6,1,2023-03-25,Cash,Diazhaven
53,296,20,4,2024-09-03,Cash,Robertsonborough
54,63,29,2,2022-10-25,Debit Card,Marvinport
55,165,46,1,2022-07-15,Credit Card,Sanchezport
56,239,29,1,2024-11-15,PayPal,Brendaton
57,207,60,3,2022-12-16,Debit Card,South Jessica
58,226,1,4,2024-04-17,Debit Card,Perrybury
59,99,69,2,2024-06-02,PayPal,Bakermouth
60,255,70,2,2023-04-25,Debit Card,Davisport
61,296,31,4,2024-10-04,Credit Card,Goodmanport
62,116,24,1,2024-01-02,Credit Card,Woodbury
63,169,54,2,2024-11-28,Credit Card,South James
64,166,56,4,2023-03-01,Credit Card,Allenview
65,146,41,1,2024-06-24,PayPal,Jenniferton
66,221,73,4,2022-05-13,PayPal,Kirkville
67,118,19,1,2024-02-14,Cash,Andersonhaven
68,124,32,2,2023-12-24,Debit Card,Villatown
69,155,72,2,2023-04-26,Credit Card,Collinsview
70,51,7,1,2023-08-05,Credit Card,Alexisfort
71,235,55,1,2024-09-18,Credit Card,West Sheilaville
72,234,71,2,2022-05-31,Credit Card,North Denisechester
73,299,70,3,2024-04-02,Credit Card,New Williamfurt
74,269,70,2,2024-03-21,Debit Card,East Danielleview
75,151,12,3,2022-01-26,Credit Card,Matthewstad
76,55,4,4,2024-11-16,Credit Card,West Bobby
77,275,56,3,2022-10-07,Debit Card,East Yolandaview
78,263,44,1,2024-03-06,Credit Card,Port Aaron
79,59,63,1,2023-12-08,Credit Card,West Gordonland
80,265,60,2,2022-09-26,PayPal,Mcguiremouth
81,171,2,2,2024-10-01,PayPal,New James
82,79,22,2,2024-04-13,Credit Card,Wilsonstad
83,89,8,2,2023-12-26,PayPal,Lake Robert
84,192,64,4,2024-03-07,Cash,North Loriburgh
85,163,28,1,2024-10-31,PayPal,Johnview
86,297,67,2,2022-09-26,PayPal,Brownberg
87,116,76,4,2024-12-05,Debit Card,Michaelhaven
88,30,63,2,2024-01-22,Cash,Douglasview
89,292,75,2,2023-10-11,PayPal,West Anna
90,12,73,1,2022-05-19,Crypto,South Jillian
91,267,17,2,2022-11-19,Debit Card,Brianton
92,252,51,2,2022-02-02,Debit Card,West Jessica
93,174,59,4,2023-12-23,Credit Card,Paulburgh
94,2,14,3,2022-06-17,Credit Card,North Jillfurt
95,258,34,4,2024-12-28,PayPal,Janiceside
96,62,46,3,2023-07-17,Credit Card,Reynoldshaven
97,85,46,1,2023-04-04,Debit Card,West Heathermouth
98,26,34,4,2023-08-17,Cash,Lauraborough
99,272,13,1,2022-01-12,Credit Card,Lake Davidstad
100,239,42,4,2024-03-08,Credit Card,Lake Daniellechester
101,277,6,2,2022-07-18,Cash,Espinozaport
102,177,15,3,2024-09-30,Debit Card,New Brandy
103,59,30,3,2023-09-13,Debit Card,North Brad
104,146,10,3,2023-02-15,Cash,Jorgemouth
105,242,24,2,2024-09-26,Credit Card,South Joseberg
106,123,25,3,2023-07-09,Credit Card,Davidville
107,32,72,3,2024-10-04,Credit Card,Williamchester
108,208,55,2,2022-02-25,Debit Card,Coreyville
109,95,76,1,2024-08-08,Debit Card,New Jorge
110,175,1,1,2024-09-28,Cash,New Andrew
111,19,38,3,2022-01-25,Credit Card,Sherryberg
112,226,68,2,2022-01-26,Credit Card,North Brandonborough
113,256,62,4,2022-01-15,Debit Card,East Bradleyville
114,68,9,4,2022-01-21,Credit Card,Port Samuelview
115,6,78,1,2022-09-14,PayPal,New Eduardo
116,163,2,2,2022-07-12,Credit Card,Andersonfurt
117,61,57,1,2022-04-06,Cash,Leahfurt
118,66,56,1,2022-09-04,PayPal,Haydenmouth
119,69,14,2,2023-10-14,Cash,Brownmouth
120,42,73,3,2022-12-25,Debit Card,East Barry
121,63,55,3,2024-03-09,Debit Card,East Joshuastad
122,272,51,1,2024-06-05,PayPal,South Brenda
123,173,80,1,2024-11-25,Debit Card,Kennethberg
124,17,43,3,2023-03-01,Debit Card,Natashamouth
125,250,21,4,2022-06-14,Credit Card,Trevorberg
126,209,9,1,2022-05-14,PayPal,New Breannabury
127,252,58,3,2024-04-10,Debit Card,Meyerton
128,163,51,4,2024-03-17,Debit Card,West Tonya
129,216,5,4,2022-08-28,Crypto,North Troymouth
130,49,11,2,2024-02-23,Cash,New Joshuastad
131,45,76,1,2024-12-03,Debit Card,Juliebury
132,200,12,4,2024-01-12,Credit Card,Washingtonfort
133,300,39,1,2022-07-16,Debit Card,Marcusstad
134,144,14,2,2023-06-03,Debit Card,Stephaniestad
135,89,64,2,2024-01-14,Cash,New Kristinamouth
136,208,42,1,2022-02-13,Credit Card,Lisaview
137,169,40,1,2023-05-08,Credit Card,Robertsview
138,71,1,1,2024-02-11,Credit Card,Wyatthaven
139,137,2,3,2023-09-04,Credit Card,Francisland
140,244,1,3,2024-03-02,Debit Card,Harryville
141,90,63,3,2023-11-20,Cash,Lake Joannbury
142,151,14,3,2023-07-27,Credit Card,Waltersport
143,259,78,4,2023-08-01,Credit Card,Pedrotown
144,27,57,2,2022-03-01,Credit Card,Jenniferburgh
145,29,4,4,2022-09-09,Cash,Jasonshire
146,228,66,3,2023-06-16,Debit Card,Andrewland
147,299,24,4,2023-01-18,Cash,North Bobbyview
148,172,39,2,2024-12-27,PayPal,Michaelfort
149,64,49,4,2023-09-20,Credit Card,Contrerasport
150,55,65,1,2024-03-16,PayPal,Port Lindamouth
151,9,57,4,2022-07-05,Crypto,Mcguirechester
152,199,42,2,2023-05-07,Credit Card,Andersonview
153,197,65,2,2023-09-13,Cash,New Richardborough
154,162,12,2,2024-01-29,Debit Card,Dunlapville
155,136,42,4,2024-07-07,Debit Card,Gomezberg
156,209,68,3,2023-07-17,Credit Card,North Scott
157,93,15,4,2023-09-26,Credit Card,Port Rebecca
158,195,70,1,2023-06-27,Cash,Port Maryburgh
159,251,43,2,2022-03-09,Credit Card,New Deanmouth
160,198,72,2,2023-02-12,Debit Card,New Sydneyfort
161,86,32,3,2023-07-24,Credit Card,Arnoldland
162,101,58,1,2024-06-13,Debit Card,Port Glendaton
163,254,17,3,2023-02-04,Credit Card,North Omarshire
164,268,54,3,2023-12-05,Credit Card,Hernandezside
165,274,80,1,2023-02-14,Credit Card,North Johnberg
166,154,67,1,2024-05-24,Cash,Adamsstad
167,278,44,4,2022-06-09,Credit Card,South Sonya
168,85,69,1,2023-02-09,Credit Card,Dixonberg
169,25,22,4,2023-09-01,Cash,Amberside
170,204,12,3,2022-07-26,Debit Card,Carmenton
171,136,28,1,2024-01-18,Credit Card,Wardside
172,214,41,4,2023-04-19,Credit Card,Port Andrew
173,14,61,2,2023-09-25,Cash,Christopherburgh
174,159,38,2,2023-10-01,Credit Card,Lake Jessica
175,78,30,1,2023-01-25,Debit Card,New Brandonbury
176,57,40,2,2023-12-15,Debit Card,South Valerieton
177,117,1,4,2024-09-21,Credit Card,East Matthew
178,167,2,2,2024-12-20,PayPal,East Andrea
179,44,34,2,2023-06-16,Credit Card,Heatherberg
180,52,40,2,2022-04-24,PayPal,Sarahtown
181,91,54,4,2024-12-12,Credit Card,Brightside
182,124,38,3,2024-02-24,PayPal,Davishaven
183,3,28,2,2024-01-13,PayPal,New Cassandra
184,7,72,1,2024-02-12,Debit Card,North Tracey
185,34,53,1,2023-06-30,Crypto,Ambertown
186,174,33,3,2024-10-12,Debit Card,West Emma
187,268,12,3,2023-08-21,PayPal,Port Jennifer
188,226,75,3,2022-12-03,Debit Card,Johnside
189,205,31,3,2022-05-11,Debit Card,Dayhaven
190,86,39,2,2024-10-02,Debit Card,South Danaburgh
191,255,55,4,2023-06-08,Credit Card,Brettbury
192,209,64,2,2024-11-29,Credit Card,Loweton
193,73,56,4,2024-10-24,Debit Card,Port Natashafort
194,158,18,1,2022-11-29,Cash,East Michaelfurt
195,270,4,4,2022-09-09,Cash,Gutierrezbury
196,253,79,1,2024-11-09,Credit Card,West Chris
197,15,25,4,2024-04-16,Credit Card,Port Nathanielfurt
198,129,78,3,2022-11-07,PayPal,Michaelberg
199,299,33,4,2024-06-21,Cash,Whitneymouth
200,168,32,3,2023-04-10,PayPal,East Jeremyhaven
201,177,35,4,2023-11-21,PayPal,South Brendaside
202,123,9,1,2022-02-07,PayPal,South Joshua
203,195,51,1,2023-12-27,Cash,Brownshire
204,185,19,1,2022-08-11,Credit Card,Masonview
205,279,63,2,2023-01-11,Credit Card,Shawnhaven
206,141,11,3,2023-04-06,Cash,Daltonville
207,151,10,1,2024-05-16,Debit Card,Port Jasonfort
208,31,80,4,2023-03-29,Debit Card,East Nicole
209,136,1,3,2022-06-19,Credit Card,Thompsontown
210,273,47,1,2022-10-14,Debit Card,New Jose
211,234,17,3,2023-08-04,Credit Card,Alyssamouth
212,188,52,1,2022-01-02,PayPal,Port Austin
213,103,71,1,2024-09-29,PayPal,West Sarahmouth
214,61,33,3,2022-07-28,Cash,New Kathleenton
215,288,1,4,2023-10-15,Debit Card,New Kennethstad
216,63,54,1,2023-05-30,Credit Card,New Catherineberg
217,44,28,1,2023-08-28,Debit Card,North Adam
218,212,29,2,2023-01-07,PayPal,West Rodney
219,169,31,4,2023-07-22,Crypto,Port Sarah
220,119,26,3,2022-03-21,Credit Card,Lake Lindafurt
221,9,9,4,2024-03-02,Credit Card,Marilynborough
222,4,42,4,2024-05-13,Debit Card,Mannfurt
223,158,32,4,2022-01-05,Cash,Clarkchester
224,90,42,4,2022-02-06,Credit Card,Calebbury
225,89,10,3,2023-09-22,Credit Card,Changborough
226,136,6,2,2024-08-10,Debit Card,Lawsonland
227,97,64,2,2024-07-30,Debit Card,Stephenchester
228,289,12,2,2022-06-01,Credit Card,North Haleytown
229,120,1,1,2022-01-13,PayPal,East Denise
230,284,51,1,2023-11-11,Credit Card,South Stacychester
231,248,77,1,2023-09-03,Credit Card,Vargaschester
232,110,53,1,2022-01-09,Debit Card,South Brittany
233,48,13,4,2022-05-06,Crypto,Jodimouth
234,164,58,2,2024-10-17,Debit Card,Williamston
235,237,38,1,2022-08-21,Cash,Emmafort
236,36,37,2,2023-01-03,Debit Card,Maynardfurt
237,66,16,4,2024-08-06,PayPal,West Moniqueside
238,40,3,4,2022-01-21,Debit Card,Lake Kimberly
239,189,50,4,2024-12-25,Debit Card,Carrieland
240,50,61,2,2023-09-15,Debit Card,Andreland
241,133,75,3,2024-07-23,Debit Card,Reedborough
242,220,59,3,2024-05-19,Credit Card,Leahland
243,271,51,4,2023-11-02,PayPal,Jessicaberg
244,115,56,2,2023-06-12,Credit Card,West Dawn
245,173,33,2,2023-09-03,Credit Card,Lake Zacharyfurt
246,175,39,2,2024-01-29,Debit Card,Andrewstad
247,194,41,4,2022-11-15,Debit Card,East Kevinport
248,221,31,3,2022-05-16,Debit Card,Port Natalieville
249,102,68,3,2023-06-29,PayPal,New Cindyport
250,55,34,4,2024-05-30,Credit Card,Port Sethstad
251,161,1,1,2023-04-10,Cash,Brownburgh
252,261,77,4,2022-02-16,Debit Card,Edwardsmouth
253,14,61,3,2024-02-20,Credit Card,Alexandermouth
254,83,51,1,2024-06-28,Debit Card,Chavezland
255,242,61,1,2024-05-12,Debit Card,South Kyle
256,111,49,1,2022-04-28,Crypto,New Daniellebury
257,3,66,3,2023-03-23,Debit Card,Whitneyport
258,188,78,4,2024-02-22,Credit Card,West Jeremiahborough
259,19,40,3,2022-05-08,Credit Card,East Melissa
260,98,20,3,2023-02-11,PayPal,Bondstad
261,218,25,4,2022-10-18,Crypto,Douglastown
262,118,46,3,2022-03-12,Cash,South Manuel
263,290,67,1,2022-08-17,Credit Card,Wongport
264,25,33,3,2023-01-04,Credit Card,North Tashastad
265,157,62,4,2023-09-12,Credit Card,West Dalemouth
266,192,75,1,2024-08-28,Credit Card,Wolftown
267,193,45,4,2022-01-14,Credit Card,Oliverhaven
268,221,9,4,2022-02-26,Credit Card,East James
269,217,44,3,2024-03-02,Credit Card,East Dennis
270,276,63,4,2024-05-12,Debit Card,Simmonsview
271,196,22,4,2022-07-06,Debit Card,Lake Catherinemouth
272,168,23,4,2024-11-01,Credit Card,New Dawnstad
273,196,75,4,2022-09-23,Cash,Jenkinsside
274,14,4,3,2024-04-05,Credit Card,Valeriestad
275,57,60,2,2022-07-09,Credit Card,Lake Jobury
276,133,55,3,2024-07-21,Credit Card,Doyleport
277,214,40,2,2022-01-01,Cash,Joshuafurt
278,57,26,4,2023-10-21,Debit Card,South Thomas
279,38,51,2,2024-10-08,Debit Card,West Danielberg
280,181,76,4,2024-12-15,Credit Card,Calhounbury
281,247,19,2,2023-04-13,Debit Card,New Robert
282,18,79,2,2024-03-08,Debit Card,North Kelly
283,245,31,3,2023-11-22,Crypto,Lewisshire
284,276,30,4,2024-04-17,PayPal,Jonesborough
285,162,24,4,2023-03-24,Credit Card,Port Brianborough
286,211,72,1,2024-10-27,Debit Card,Morrisville
287,252,48,1,2024-08-21,Credit Card,Jenniferfurt
288,106,63,1,2023-03-23,Cash,Bentonbury
289,269,75,2,2023-11-30,Credit Card,South Erica
290,91,26,3,2024-08-15,Credit Card,Harrisonland
291,246,49,4,2023-01-23,Debit Card,Jacksonburgh
292,165,51,1,2024-08-30,Crypto,New Greghaven
293,40,50,1,2022-05-04,PayPal,Brendanshire
294,238,69,1,2024-02-14,Cash,East Lisaport
295,47,59,1,2023-09-23,Credit Card,West Rebekah
296,108,68,4,2024-12-03,Credit Card,Francoton
297,71,11,4,2022-08-25,Credit Card,Ericborough
298,41,14,4,2023-12-20,Debit Card,Michaelshire
299,144,44,1,2022-04-17,Credit Card,Sarahshire
300,20,9,4,2023-09-25,Credit Card,South Robert
301,84,24,4,2023-03-22,Cash,Aguilarhaven
302,62,12,4,2023-09-23,Debit Card,Lake Kim
303,285,57,4,2023-12-28,Debit Card,Amyville
304,65,65,3,2024-05-11,Credit Card,Stonestad
305,228,71,4,2022-01-11,Debit Card,Gordonstad
306,191,79,2,2024-09-14,Debit Card,Mcneilmouth
307,104,30,4,2022-02-21,Credit Card,New Sharonburgh
308,219,59,4,2023-10-10,PayPal,Port Shane
309,230,67,4,2023-02-10,PayPal,New Markland
310,224,42,1,2023-09-03,Debit Card,Schmidtshire
311,235,24,3,2023-10-06,Cash,Andersonborough
312,254,12,1,2023-03-04,PayPal,New Jamieside
313,98,19,2,2022-05-29,Debit Card,Marshfort
314,81,71,4,2024-05-15,Debit Card,Alexandrahaven
315,140,21,4,2023-06-05,Credit Card,New Elizabethburgh
316,79,15,3,2022-03-18,Credit Card,Longstad
317,41,41,4,2024-02-07,Debit Card,Raychester
318,254,66,1,2023-12-22,PayPal,West Kyle
319,241,61,3,2022-09-03,Credit Card,East Matthew
320,124,78,4,2024-04-26,Debit Card,South Bobbyport
321,205,12,3,2024-06-19,PayPal,Teresafort
322,94,2,3,2024-06-25,Credit Card,Port Aaronville
323,96,53,1,2024-07-10,Debit Card,Marcshire
324,172,13,4,2024-04-16,Credit Card,Aprilport
325,155,27,1,2024-04-14,PayPal,Millerfurt
326,101,80,1,2022-04-07,Credit Card,New Debra
327,148,72,3,2024-08-05,Credit Card,South Tracy
328,78,79,4,2022-05-27,Credit Card,Mendozaside
329,112,73,2,2022-04-30,Debit Card,North Kevinmouth
330,286,80,1,2023-03-08,Debit Card,Lake Mindy
331,39,34,4,2023-04-26,Credit Card,South Joshuatown
332,299,38,2,2023-08-28,Credit Card,North Cody
333,288,41,2,2023-10-07,Debit Card,Jennifershire
334,267,54,3,2023-11-01,Crypto,North Shawn
335,36,56,3,2023-01-22,Debit Card,Port Nicole
336,17,72,1,2022-06-13,Credit Card,Port Tanya
337,88,29,3,2023-06-12,Cash,Paulville
338,74,12,1,2022-10-17,PayPal,Kennethmouth
339,240,54,1,2024-02-07,PayPal,Lake Guy
340,177,10,1,2024-12-04,PayPal,Ericstad
341,215,74,1,2024-06-02,Credit Card,East Matthew
342,137,8,1,2024-03-02,PayPal,Graystad
343,163,14,1,2024-01-26,PayPal,Fernandezchester
344,293,55,1,2022-04-30,Credit Card,Hayleyhaven
345,152,60,1,2023-03-23,Credit Card,Bradleymouth
346,154,69,3,2023-10-20,Crypto,Kayleebury
347,189,59,3,2023-06-12,Debit Card,Cherylside
